# Particle Tracking
# Time (s), Position (m), Temperature (K), Diameter (m)
0,0,300,4e-05
2e-05,0,300,4e-05
4e-05,0,300,4e-05
6e-05,0,300,4e-05
8e-05,0,300,4e-05
0.0001,0,300,4e-05
0.00012,0,300,4e-05
0.00014,0,300,4e-05
0.00016,0,300,4e-05
0.00018,0,300,4e-05
0.0002,0,300,4e-05
0.00022,0,300,4e-05
0.00024,0,300,4e-05
0.00026,0,300,4e-05
0.00028,0,300,4e-05
0.0003,0,300,4e-05
0.00032,0,300,4e-05
0.00034,0,300,4e-05
0.00036,0,300,4e-05
0.00038,0,300,4e-05
0.0004,0,300,4e-05
0.00042,0,300,4e-05
0.00044,0,300,4e-05
0.00046,0,300,4e-05
0.00048,0,300,4e-05
0.0005,0,300,4e-05
0.00052,0,300,4e-05
0.00054,0,300,4e-05
0.00056,0,300,4e-05
0.00058,0,300,4e-05
0.0006,0,300,4e-05
0.00062,0,300,4e-05
0.00064,0,300,4e-05
0.00066,0,300,4e-05
0.00068,0,300,4e-05
0.0007,0,300,4e-05
0.00072,0,300,4e-05
0.00074,0,300,4e-05
0.00076,0,300,4e-05
0.00078,0,300,4e-05
0.0008,0,300,4e-05
0.00082,0,300,4e-05
0.00084,0,300,4e-05
0.00086,0,300,4e-05
0.00088,0,300,4e-05
0.0009,0,300,4e-05
0.00092,0,300,4e-05
0.00094,0,300,4e-05
0.00096,0,300,4e-05
0.00098,0,300,4e-05
0.001,0,300,4e-05
0.00102,0,300,4e-05
0.00104,0,300,4e-05
0.00106,0,300,4e-05
0.00108,0,300,4e-05
0.0011,0,300,4e-05
0.00112,0,300,4e-05
0.00114,0,300,4e-05
0.00116,0,300,4e-05
0.00118,0,300,4e-05
0.0012,0,300,4e-05
0.00122,0,300,4e-05
0.00124,0,300,4e-05
0.00126,0,300,4e-05
0.00128,0,300,4e-05
0.0013,0,300,4e-05
0.00132,0,300,4e-05
0.00134,0,300,4e-05
0.00136,0,300,4e-05
0.00138,0,300,4e-05
0.0014,0,300,4e-05
0.00142,0,300,4e-05
0.00144,0,300,4e-05
0.00146,0,300,4e-05
0.00148,0,300,4e-05
0.0015,0,300,4e-05
0.00152,0,300,4e-05
0.00154,0,300,4e-05
0.00156,0,300,4e-05
0.00158,0,300,4e-05
0.0016,0,300,4e-05
0.00162,0,300,4e-05
0.00164,0,300,4e-05
0.00166,0,300,4e-05
0.00168,0,300,4e-05
0.0017,0,300,4e-05
0.00172,0,300,4e-05
0.00174,0,300,4e-05
0.00176,0,300,4e-05
0.00178,0,300,4e-05
0.0018,0,300,4e-05
0.00182,0,300,4e-05
0.00184,0,300,4e-05
0.00186,0,300,4e-05
0.00188,0,300,4e-05
0.0019,0,300,4e-05
0.00192,0,300,4e-05
0.00194,0,300,4e-05
0.00196,0,300,4e-05
0.00198,0,300,4e-05
0.002,0,300,4e-05
0.00202,0,300,4e-05
0.00204,0,300,4e-05
0.00206,0,300,4e-05
0.00208,0,300,4e-05
0.0021,0,300,4e-05
0.00212,0,300,4e-05
0.00214,0,300,4e-05
0.00216,0,300,4e-05
0.00218,0,300,4e-05
0.0022,0,300,4e-05
0.00222,0,300,4e-05
0.00224,0,300,4e-05
0.00226,0,300,4e-05
0.00228,0,300,4e-05
0.0023,0,300,4e-05
0.00232,0,300,4e-05
0.00234,0,300,4e-05
0.00236,0,300,4e-05
0.00238,0,300,4e-05
0.0024,0,300,4e-05
0.00242,0,300,4e-05
0.00244,0,300,4e-05
0.00246,0,300,4e-05
0.00248,0,300,4e-05
0.0025,0,300,4e-05
0.00252,0,300,4e-05
0.00254,0,300,4e-05
0.00256,0,300,4e-05
0.00258,0,300,4e-05
0.0026,0,300,4e-05
0.00262,0,300,4e-05
0.00264,0,300,4e-05
0.00266,0,300,4e-05
0.00268,0,300,4e-05
0.0027,0,300,4e-05
0.00272,0,300,4e-05
0.00274,0,300,4e-05
0.00276,0,300,4e-05
0.00278,0,300,4e-05
0.0028,0,300,4e-05
0.00282,0,300,4e-05
0.00284,0,300,4e-05
0.00286,0,300,4e-05
0.00288,0,300,4e-05
0.0029,0,300,4e-05
0.00292,0,300,4e-05
0.00294,0,300,4e-05
0.00296,0,300,4e-05
0.00298,0,300,4e-05
0.003,0,300,4e-05
0.00302,0,300,4e-05
0.00304,0,300,4e-05
0.00306,0,300,4e-05
0.00308,0,300,4e-05
0.0031,0,300,4e-05
0.00312,0,300,4e-05
0.00314,0,300,4e-05
0.00316,0,300,4e-05
0.00318,0,300,4e-05
0.0032,0,300,4e-05
0.00322,0,300,4e-05
0.00324,0,300,4e-05
0.00326,0,300,4e-05
0.00328,0,300,4e-05
0.0033,0,300,4e-05
0.00332,0,300,4e-05
0.00334,0,300,4e-05
0.00336,0,300,4e-05
0.00338,0,300,4e-05
0.0034,0,300,4e-05
0.00342,0,300,4e-05
0.00344,0,300,4e-05
0.00346,0,300,4e-05
0.00348,0,300,4e-05
0.0035,0,300,4e-05
0.00352,0,300,4e-05
0.00354,0,300,4e-05
0.00356,0,300,4e-05
0.00358,0,300,4e-05
0.0036,0,300,4e-05
0.00362,0,300,4e-05
0.00364,0,300,4e-05
0.00366,0,300,4e-05
0.00368,0,300,4e-05
0.0037,0,300,4e-05
0.00372,0,300,4e-05
0.00374,0,300,4e-05
0.00376,0,300,4e-05
0.00378,0,300,4e-05
0.0038,0,300,4e-05
0.00382,0,300,4e-05
0.00384,0,300,4e-05
0.00386,0,300,4e-05
0.00388,0,300,4e-05
0.0039,0,300,4e-05
0.00392,0,300,4e-05
0.00394,0,300,4e-05
0.00396,0,300,4e-05
0.00398,0,300,4e-05
0.004,0,300,4e-05
0.00402,0,300,4e-05
0.00404,0,300,4e-05
0.00406,0,300,4e-05
0.00408,0,300,4e-05
0.0041,0,300,4e-05
0.00412,0,300,4e-05
0.00414,0,300,4e-05
0.00416,0,300,4e-05
0.00418,0,300,4e-05
0.0042,0,300,4e-05
0.00422,0,300,4e-05
0.00424,0,300,4e-05
0.00426,0,300,4e-05
0.00428,0,300,4e-05
0.0043,0,300,4e-05
0.00432,0,300,4e-05
0.00434,0,300,4e-05
0.00436,0,300,4e-05
0.00438,0,300,4e-05
0.0044,0,300,4e-05
0.00442,0,300,4e-05
0.00444,0,300,4e-05
0.00446,0,300,4e-05
0.00448,0,300,4e-05
0.0045,0,300,4e-05
0.00452,0,300,4e-05
0.00454,0,300,4e-05
0.00456,0,300,4e-05
0.00458,0,300,4e-05
0.0046,0,300,4e-05
0.00462,0,300,4e-05
0.00464,0,300,4e-05
0.00466,0,300,4e-05
0.00468,0,300,4e-05
0.0047,0,300,4e-05
0.00472,0,300,4e-05
0.00474,0,300,4e-05
0.00476,0,300,4e-05
0.00478,0,300,4e-05
0.0048,0,300,4e-05
0.00482,0,300,4e-05
0.00484,0,300,4e-05
0.00486,0,300,4e-05
0.00488,0,300,4e-05
0.0049,0,300,4e-05
0.00492,0,300,4e-05
0.00494,0,300,4e-05
0.00496,0,300,4e-05
0.00498,0,300,4e-05
0.005,0,300,4e-05
0.00502,0,300,4e-05
0.00504,0,300,4e-05
0.00506,0,300,4e-05
0.00508,0,300,4e-05
0.0051,0,300,4e-05
0.00512,0,300,4e-05
0.00514,0,300,4e-05
0.00516,0,300,4e-05
0.00518,0,300,4e-05
0.0052,0,300,4e-05
0.00522,0,300,4e-05
0.00524,0,300,4e-05
0.00526,0,300,4e-05
0.00528,0,300,4e-05
0.0053,0,300,4e-05
0.00532,0,300,4e-05
0.00534,0,300,4e-05
0.00536,0,300,4e-05
0.00538,0,300,4e-05
0.0054,0,300,4e-05
0.00542,0,300,4e-05
0.00544,0,300,4e-05
0.00546,0,300,4e-05
0.00548,0,300,4e-05
0.0055,0,300,4e-05
0.00552,0,300,4e-05
0.00554,0,300,4e-05
0.00556,0,300,4e-05
0.00558,0,300,4e-05
0.0056,0,300,4e-05
0.00562,0,300,4e-05
0.00564,0,300,4e-05
0.00566,0,300,4e-05
0.00568,0,300,4e-05
0.0057,0,300,4e-05
0.00572,0,300,4e-05
0.00574,0,300,4e-05
0.00576,0,300,4e-05
0.00578,0,300,4e-05
0.0058,0,300,4e-05
0.00582,0,300,4e-05
0.00584,0,300,4e-05
0.00586,0,300,4e-05
0.00588,0,300,4e-05
0.0059,0,300,4e-05
0.00592,0,300,4e-05
0.00594,0,300,4e-05
0.00596,0,300,4e-05
0.00598,0,300,4e-05
0.006,0,300,4e-05
0.00602,0,300,4e-05
0.00604,0,300,4e-05
0.00606,0,300,4e-05
0.00608,0,300,4e-05
0.0061,0,300,4e-05
0.00612,0,300,4e-05
0.00614,0,300,4e-05
0.00616,0,300,4e-05
0.00618,0,300,4e-05
0.0062,0,300,4e-05
0.00622,0,300,4e-05
0.00624,0,300,4e-05
0.00626,0,300,4e-05
0.00628,0,300,4e-05
0.0063,0,300,4e-05
0.00632,0,300,4e-05
0.00634,0,300,4e-05
0.00636,0,300,4e-05
0.00638,0,300,4e-05
0.0064,0,300,4e-05
0.00642,0,300,4e-05
0.00644,0,300,4e-05
0.00646,0,300,4e-05
0.00648,0,300,4e-05
0.0065,0,300,4e-05
0.00652,0,300,4e-05
0.00654,0,300,4e-05
0.00656,0,300,4e-05
0.00658,0,300,4e-05
0.0066,0,300,4e-05
0.00662,0,300,4e-05
0.00664,0,300,4e-05
0.00666,0,300,4e-05
0.00668,0,300,4e-05
0.0067,0,300,4e-05
0.00672,0,300,4e-05
0.00674,0,300,4e-05
0.00676,0,300,4e-05
0.00678,0,300,4e-05
